1571927702,1,13,1,"C3,C5,C9,C2;DA,DK,D10,D5;CQ,C6,CK,C10;S3,S10,S2,S9;D3,S6,S7,SA;D7,SQ,S4,SJ;C4,D8,DJ,D4;D6,C8,D9,D2;DQ,CA,SK,S8;H9,H5,H7,H6;H3,CJ,HK,S5;H4,H10,HA,H2;HJ,HQ,C7,H8"
1571927702,1,17,1,"C5,CQ,C4,C2;SQ,S6,S2,S9;CJ,S4,S10,S5;CK,C10,C7,C8;DA,S7,SA,SJ;D10,DQ,D6,D9;D2,DJ,D4,D7;C3,CA,D3,C9;S3,D8,H8,DK;H5,S8,HQ,C6;HJ,SK,H9,D5;H6,HA,H7,HK;H10,H4,H3,H2"
1571927702,1,6,1,"CJ,C5,C4,C2;S9,S3,SJ,SA;SQ,S10,S6,SK;DK,D2,DJ,D10;D9,D4,D5,D3;C9,CA,C3,C6;H5,H8,HQ,H7;HK,D8,D6,DA;H6,C10,S2,CK;H3,DQ,S5,D7;S8,S7,H10,S4;C8,H2,H4,H9;CQ,HA,C7,HJ"
1571927702,1,7,1,"C9,CJ,CA,C2;S9,SJ,S7,S6;S8,SA,S10,S3;D10,DK,D7,D2;C6,C3,C5,C7;DJ,D3,DA,D8;SQ,D4,D6,D5;CQ,C4,S5,S4;C8,C10,H9,S2;D9,DQ,H7,SK;H6,H4,H8,H5;HJ,HQ,HK,H2;H10,H3,HA,CK"
1571927702,1,13,1,"CQ,CJ,C8,C2;CA,C3,CK,C6;S4,S8,S3,SK;SQ,S5,S6,SJ;D10,D6,DK,D3;D5,DQ,C9,D4;S2,SA,S7,S9;C4,DA,C10,C5;D2,D7,DJ,C7;HQ,H6,HK,H8;H7,H3,D8,S10;HA,H4,HJ,H5;H10,D9,H9,H2"
1571927702,1,16,1,"C10,C8,CA,C2;C3,D6,C7,C9;SJ,S2,S8,S7;DA,D7,D2,D10;S6,S5,SQ,SA;S4,DQ,D8,S9;SK,DK,CQ,S10;CJ,C5,S3,C4;D9,H4,C6,D3;H10,HJ,DJ,D5;H3,H8,H6,HK;D4,HA,H2,HQ;H9,H7,CK,H5"
1571927702,1,0,1,"CQ,C4,C7,C2;D7,D2,D10,DA;DJ,D3,D8,D9;S10,S2,SK,S5;S8,S9,CJ,D4;SJ,SA,S6,DK;C3,S4,C10,D6;S7,SQ,C6,D5;C9,C8,C5,CK;HQ,S3,H6,DQ;H2,H9,HJ,CA;HK,H7,HA,H10;H5,H4,H3,H8"
1571927702,1,0,1,"S2,CQ,C7,C2;C5,C6,DJ,C4;S6,SA,S8,SJ;CK,CA,D4,CJ;D9,D7,D3,DQ;SQ,S5,D6,SK;D2,DK,D8,DA;S9,S7,D10,S3;HQ,H9,H6,H3;HJ,C3,H5,C9;H8,C8,H10,C10;H2,S10,H4,D5;HK,H7,HA,S4"
1571927702,1,4,1,"C10,C8,CA,C2;C3,S10,CK,C4;D6,D7,DQ,DK;D10,DJ,D2,DA;D4,C9,D5,D9;S9,S8,S4,SA;CQ,CJ,D3,D8;C5,S5,S6,C6;S3,SK,SJ,C7;H4,HK,HQ,H5;H7,HJ,H9,H10;HA,H8,S2,H6;H3,S7,H2,SQ"
1571927702,1,21,1,"C9,CK,C3,C2;S8,S2,D9,S5;SK,C6,S6,SJ;DQ,D2,D3,D8;DA,D7,DJ,D6;S10,S3,C5,S7;C10,C8,SA,S9;C7,D5,CQ,S4;D10,D4,HQ,SQ;H6,H3,H7,H9;H2,DK,H8,H10;HA,C4,HJ,H4;CA,H5,HK,CJ"
1571927702,1,4,1,"C6,C9,C10,C2;SA,SK,S5,S6;D9,DK,DA,DJ;S10,S3,S7,SJ;D8,D6,D10,D2;S4,CJ,S2,S8;C5,C3,C7,CA;C8,D5,C4,CQ;D7,HQ,D3,CK;D4,H10,H3,S9;DQ,HK,H8,SQ;H6,HJ,H2,H9;HA,H5,H4,H7"
